goos: windows
goarch: amd64
pkg: github.com/tensorfoundrylabs/velocity/benchmarks
cpu: AMD Ryzen 9 5950X 16-Core Processor            
BenchmarkLibraries/charmbracelet/MixedFieldTypes-32              	70872976	        33.56 ns/op	      24 B/op	       1 allocs/op
BenchmarkLibraries/charmbracelet/MixedFieldTypes-32              	71105094	        33.93 ns/op	      24 B/op	       1 allocs/op
BenchmarkLibraries/charmbracelet/ErrorField-32                   	685899674	         3.461 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/charmbracelet/ErrorField-32                   	681079249	         3.480 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/charmbracelet/ErrorField-32                   	682537172	         3.495 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/charmbracelet/LargeMessage-32                 	100000000	        23.47 ns/op	      16 B/op	       1 allocs/op
BenchmarkLibraries/charmbracelet/LargeMessage-32                 	100000000	        24.14 ns/op	      16 B/op	       1 allocs/op
BenchmarkLibraries/charmbracelet/LargeMessage-32                 	70761808	        34.14 ns/op	      16 B/op	       1 allocs/op
BenchmarkLibraries/charmbracelet/Parallel_4-32                   	1000000000	         0.3122 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/charmbracelet/Parallel_4-32                   	1000000000	         0.2872 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/charmbracelet/Parallel_4-32                   	1000000000	         0.4352 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/charmbracelet/Parallel_16-32                  	1000000000	         0.3740 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/charmbracelet/Parallel_16-32                  	1000000000	         0.3106 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/charmbracelet/Parallel_16-32                  	1000000000	         0.2945 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/pterm/Info_NoFields-32                        	  162535	     14880 ns/op	    1971 B/op	      65 allocs/op
BenchmarkLibraries/pterm/Info_NoFields-32                        	  155116	     13191 ns/op	    1965 B/op	      65 allocs/op
BenchmarkLibraries/pterm/Info_NoFields-32                        	  275943	      8462 ns/op	    1966 B/op	      65 allocs/op
BenchmarkLibraries/pterm/Info_ThreeFields-32                     	  148449	     16401 ns/op	    5872 B/op	     144 allocs/op
BenchmarkLibraries/pterm/Info_ThreeFields-32                     	  152223	     16356 ns/op	    5882 B/op	     144 allocs/op
BenchmarkLibraries/pterm/Info_ThreeFields-32                     	  146930	     16331 ns/op	    5884 B/op	     144 allocs/op
BenchmarkLibraries/pterm/With_TwoFields-32                       	  294430	      8307 ns/op	    1966 B/op	      65 allocs/op
BenchmarkLibraries/pterm/With_TwoFields-32                       	  288728	      8514 ns/op	    1965 B/op	      65 allocs/op
BenchmarkLibraries/pterm/With_TwoFields-32                       	  274354	      8333 ns/op	    1968 B/op	      65 allocs/op
BenchmarkLibraries/pterm/Info_TenFields-32                       	   75117	     32715 ns/op	   15318 B/op	     311 allocs/op
BenchmarkLibraries/pterm/Info_TenFields-32                       	   75734	     32021 ns/op	   15342 B/op	     311 allocs/op
BenchmarkLibraries/pterm/Info_TenFields-32                       	   71997	     32625 ns/op	   15323 B/op	     311 allocs/op
BenchmarkLibraries/pterm/MixedFieldTypes-32                      	  101408	     23568 ns/op	    9796 B/op	     218 allocs/op
BenchmarkLibraries/pterm/MixedFieldTypes-32                      	  102452	     22969 ns/op	    9762 B/op	     218 allocs/op
BenchmarkLibraries/pterm/MixedFieldTypes-32                      	  106873	     22841 ns/op	    9759 B/op	     218 allocs/op
BenchmarkLibraries/pterm/ErrorField-32                           	  228798	     10863 ns/op	    2888 B/op	      90 allocs/op
BenchmarkLibraries/pterm/ErrorField-32                           	  221966	     10877 ns/op	    2889 B/op	      90 allocs/op
BenchmarkLibraries/pterm/ErrorField-32                           	  230924	     10576 ns/op	    2886 B/op	      90 allocs/op
BenchmarkLibraries/pterm/LargeMessage-32                         	   65600	     37295 ns/op	   18439 B/op	      71 allocs/op
BenchmarkLibraries/pterm/LargeMessage-32                         	   64062	     37624 ns/op	   18461 B/op	      71 allocs/op
BenchmarkLibraries/pterm/LargeMessage-32                         	   64140	     37641 ns/op	   18436 B/op	      71 allocs/op
BenchmarkLibraries/pterm/Parallel_4-32                           	  132450	     17211 ns/op	   10877 B/op	     145 allocs/op
BenchmarkLibraries/pterm/Parallel_4-32                           	  130560	     16247 ns/op	    9836 B/op	     145 allocs/op
BenchmarkLibraries/pterm/Parallel_4-32                           	  159892	     15710 ns/op	    9042 B/op	     144 allocs/op
BenchmarkLibraries/pterm/Parallel_16-32                          	  153490	     15071 ns/op	    7943 B/op	     144 allocs/op
BenchmarkLibraries/pterm/Parallel_16-32                          	  134539	     15991 ns/op	    8161 B/op	     144 allocs/op
BenchmarkLibraries/pterm/Parallel_16-32                          	  150066	     14518 ns/op	    7787 B/op	     144 allocs/op
BenchmarkDisabledLevel/velocity-32                               	819742962	         3.046 ns/op	       0 B/op	       0 allocs/op
BenchmarkDisabledLevel/velocity-32                               	776753074	         3.027 ns/op	       0 B/op	       0 allocs/op
BenchmarkDisabledLevel/velocity-32                               	795937006	         3.017 ns/op	       0 B/op	       0 allocs/op
BenchmarkDisabledLevel/zap-32                                    	391210732	         6.195 ns/op	       0 B/op	       0 allocs/op
BenchmarkDisabledLevel/zap-32                                    	388966951	         6.175 ns/op	       0 B/op	       0 allocs/op
BenchmarkDisabledLevel/zap-32                                    	384696885	         6.256 ns/op	       0 B/op	       0 allocs/op
BenchmarkDisabledLevel/zerolog-32                                	322555888	         7.394 ns/op	       0 B/op	       0 allocs/op
BenchmarkDisabledLevel/zerolog-32                                	323848878	         7.378 ns/op	       0 B/op	       0 allocs/op
BenchmarkDisabledLevel/zerolog-32                                	328579158	         7.304 ns/op	       0 B/op	       0 allocs/op
BenchmarkDisabledLevel/slog-32                                   	355185636	         6.846 ns/op	       0 B/op	       0 allocs/op
BenchmarkDisabledLevel/slog-32                                   	351021655	         6.866 ns/op	       0 B/op	       0 allocs/op
BenchmarkDisabledLevel/slog-32                                   	353163201	         6.784 ns/op	       0 B/op	       0 allocs/op
BenchmarkDisabledLevel/charmbracelet-32                          	749317184	         3.199 ns/op	       0 B/op	       0 allocs/op
BenchmarkDisabledLevel/charmbracelet-32                          	746608994	         3.183 ns/op	       0 B/op	       0 allocs/op
BenchmarkDisabledLevel/charmbracelet-32                          	754277696	         3.222 ns/op	       0 B/op	       0 allocs/op
BenchmarkDisabledLevel/pterm-32                                  	137797828	        17.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkDisabledLevel/pterm-32                                  	137590268	        17.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkDisabledLevel/pterm-32                                  	137238664	        17.48 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/tensorfoundrylabs/velocity/benchmarks	471.021s
